丑	チュウ	Знак Быка	チュウ    うし	ひろ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac 
韮	キュウ	Душистый лук	キュウ    ク    にら			leek 
頁	ケツ	Страница	ケツ    ぺえじ    おおが.い    かしら			page, leaf 
頌	ショウ	Восхваление	ショウ    ジュ    ヨウ    かたち    たた.える    ほめ.る	つぐ    のぶ		eulogy 
頗	ハ	Весьма	ハ    すこぶ.る    かたよ.る			prejudiced, exceedingly 
頚	ケイ	Шея	ケイ    くび			neck, head 
顛	テン	Опрокидываться	テン    いただき    たお.れる			overturn, summit, origin 
颯	サツ	Шелест	サツ    ソウ    さっ.と			suddenly, smoothly 
飴	イ	Рисовая тянучка	イ    シ    あめ    やしな.う			rice jelly, candy 
餐	サン	Приём пищи	サン    ソン    の.む    くら.う			eat, drink, swallow 
饗	キョウ	Банкет	キョウ    う.ける    もてな.す	あい    あえ		banquet 
馨	ケイ	Аромат	ケイ    キョウ    かお.る    かおり	か    かおる    きよ    よし    かほる		fragrant, balmy, favourable 
馳	チ	Мчаться	チ    ジ    は.せる			run, gallop, sail, drive (a wagon), win (fame), despatch 
馴	ジュン	Приручать	ジュン    シュン    クン    な.れる    な.らす    したが.う			get used to, experienced, tamed 
駁	バク ハク	Опровергать	ハク    バク    ぶち    まじ.る    まだら			refutation, contradiction 
駈	ク	Гнать	ク    か.ける    か.る			run, gallop, advance 
駕	ガ	Ездить	カ    ガ    かご    が.する    しのぐ    のる			vehicle, palanquin, litter, hitch up an animal 
駿	シュン	Быстроногий	シュン    スン    すぐ.れる	する    とし    はやし    はやお		a good horse, speed, a fast person 
騨	タン, タ	Лошадь в яблоках	タン    ダン    タ    ダ    テン			dappled grey horse 
髭	シ	Борода	シ    ひげ    くちひげ			beard, mustache 
魁	カイ	Предвестник	カイ    さきがけ    かしら			charging ahead of others 
魯	ロ	Россия	ロ    おろか			foolish, Russia 
鮎	デン	Айю	デン    ネン    あゆ    なまず	あい		freshwater trout, smelt 
鮒	フ	Карась	ホ    フ    ブ    ふな			carp 
鮪	イ	Тунец	キ    ユウ    イ    まぐろ    しび			tuna 
鮫	コウ	Акула	コウ    さめ    みずち			shark 
鮭	ケイ	Кета	カイ    ケイ    さけ    しゃけ    ふぐ			salmon 
鯉	リ	Карп	リ    こい			carp 
