Id	New	Old	Radical	Strokes	Grade
955	序		广	7	5
956	叙	敍	攴	9	S
957	徐		彳	10	S
958	除		阜	10	6
959	小		小	3	1
960	升		十	4	S
961	少		小	4	2
962	召		口	5	S
963	匠		匚	6	S
964	床		广	7	S
965	抄		手	7	S
966	肖		肉	7	S
967	尚		小	8	S
968	招		手	8	5
969	承		手	8	5
970	昇		日	8	S
971	松		木	8	4
972	沼		水	8	S
973	昭		日	9	3
974	宵		宀	10	S
975	将	將	寸	10	6
976	消		水	10	3
977	症		疒	10	S
978	祥	祥	示	10	S
979	称	稱	禾	10	S
980	笑		竹	10	4
981	唱		口	11	4
982	商		口	11	3
983	渉	涉	水	11	S
984	章		立	11	3
985	紹		糸	11	S
986	訟		言	11	S
987	勝		力	12	3
988	掌		手	12	S
989	晶		日	12	S
990	焼	燒	火	12	4
991	焦		火	12	S
992	硝		石	12	S
993	粧		米	12	S
994	詔		言	12	S
995	証	證	言	12	5
996	象		豕	12	4
997	傷		人	13	6
998	奨	奬	大	13	S
999	照		火	13	4
1000	詳		言	13	S
1001	彰		彡	14	S
1002	障		阜	14	6
1003	憧		心	15	S
1004	衝		行	15	S
1005	賞		貝	15	4
1006	償		人	17	S
1007	礁		石	17	S
1008	鐘		金	20	S
1009	上		一	3	1
1010	丈		一	3	S
1011	冗		冖	4	S
1012	条	條	木	7	5
1013	状	狀	犬	7	5
1014	乗	乘	丿	9	3
1015	城		土	9	6
1016	浄	淨	水	9	S
1017	剰	剩	刀	11	S
1018	常		巾	11	5
1019	情		心	11	5
1020	場		土	12	2
1021	畳	疊	田	12	S
1022	蒸		艸	13	6
1023	縄	繩	糸	15	S
1024	壌	壤	土	16	S
1025	嬢	孃	女	16	S
1026	錠		金	16	S
1027	譲	讓	言	20	S
1028	醸	釀	酉	20	S
1029	色		色	6	2
1030	拭		手	9	S
1031	食		食	9	2
1032	植		木	12	3
1033	殖		歹	12	S
1034	飾		食	13	S
1035	触	觸	角	13	S
1036	嘱	囑	口	15	S
1037	織		糸	18	5
1038	職		耳	18	5
1039	辱		辰	10	S
1040	尻		尸	5	S
1041	心		心	4	2
1042	申		田	5	3
1043	伸		人	7	S
1044	臣		臣	7	4
1045	芯		艸	7	S
1046	身		身	7	3
1047	辛		辛	7	S
1048	侵		人	9	S
1049	信		人	9	4
1050	津		水	9	S
1051	神	神	示	9	3
1052	唇		口	10	S
1053	娠		女	10	S
1054	振		手	10	S
1055	浸		水	10	S
1056	真	眞	目	10	3
1057	針		金	10	6
1058	深		水	11	3
1059	紳		糸	11	S
1060	進		辵	11	3
1061	森		木	12	1
1062	診		言	12	S
1063	寝	寢	宀	13	S
1064	慎	愼	心	13	S
1065	新		斤	13	2
1066	審		宀	15	S
1067	震		雨	15	S
1068	薪		艸	16	S
1069	親		見	16	2
1070	人		人	2	1
1071	刃		刀	3	S
1072	仁		人	4	6
1073	尽	盡	皿	6	S
1074	迅		辵	6	S
1075	甚		甘	9	S
1076	陣		阜	10	S
1077	尋		寸	12	S
1078	腎		肉	13	S
1079	須		頁	12	S
1080	図	圖	囗	7	2
1081	水		水	4	1
1082	吹		口	7	S
1083	垂		土	8	6
1084	炊		火	8	S
1085	帥		巾	9	S
1086	粋	粹	米	10	S
1087	衰		衣	10	S
1088	推		手	11	6
1089	酔	醉	酉	11	S
1090	遂		辵	12	S
1091	睡		目	13	S
1092	穂	穗	禾	15	S
1093	随	隨	阜	12	S
1094	髄	髓	骨	19	S
1095	枢	樞	木	8	S
1096	崇		山	11	S
1097	数	數	攴	13	2
1098	据		手	11	S
1099	杉		木	7	S
1100	裾		衣	13	S
1101	寸		寸	3	6
1102	瀬	瀨	水	19	S
1103	是		日	9	S
1104	井		二	4	S
1105	世		一	5	3
1106	正		止	5	1
1107	生		生	5	1
1108	成		戈	6	4
1109	西		襾	6	2
1110	声	聲	耳	7	2
1111	制		刀	8	5
1112	姓		女	8	S
1113	征		彳	8	S
1114	性		心	8	5
1115	青		靑	8	1
1116	斉	齊	齊	8	S
1117	政		攴	9	5
1118	星		日	9	2
1119	牲		牛	9	S
1120	省		目	9	4
1121	凄		冫	10	S
1122	逝		辵	10	S
1123	清		水	11	4
1124	盛		皿	11	6
1125	婿		女	12	S
1126	晴		日	12	2
1127	勢		力	13	5
1128	聖		耳	13	6
1129	誠		言	13	6
1130	精		米	14	5
1131	製		衣	14	5
1132	誓		言	14	S
1133	静	靜	靑	14	4
1134	請		言	15	S
1135	整		攴	16	3
1136	醒		酉	16	S
1137	税		禾	12	5
1138	夕		夕	3	1
1139	斥		斤	5	S
1140	石		石	5	1
1141	赤		赤	7	1
1142	昔		日	8	3
1143	析		木	8	S
1144	席		巾	10	4
1145	脊		肉	10	S
1146	隻		隹	10	S
1147	惜		心	11	S
1148	戚		戈	11	S
1149	責		貝	11	5
1150	跡		足	13	S
1151	積		禾	16	4
1152	績		糸	17	5
1153	籍		竹	20	S
1154	切		刀	4	2
1155	折		手	7	4
1156	拙		手	8	S
1157	窃	竊	穴	9	S
1158	接		手	11	5
1159	設		言	11	5
1160	雪		雨	11	2
1161	摂	攝	手	13	S
1162	節	節	竹	13	4
1163	説		言	14	4
1164	舌		舌	6	5
1165	絶		糸	12	5
1166	千		十	3	1
1167	川		巛	3	1
1168	仙		人	5	S
1169	占		卜	5	S
1170	先		儿	6	1
1171	宣		宀	9	6
1172	専	專	寸	9	6
1173	泉		水	9	6
1174	浅	淺	水	9	4
1175	洗		水	9	6
1176	染		木	9	6
1177	扇		戶	10	S
1178	栓		木	10	S
1179	旋		方	11	S
1180	船		舟	11	2
1181	戦	戰	戈	13	4
1182	煎		火	13	S
1183	羨		羊	13	S
1184	腺		肉	13	S
1185	詮		言	13	S
1186	践	踐	足	13	S
1187	箋		竹	14	S
